id,current_path,asset_class,observed_size,git_state,recommended_class,next_action,guardrail
workspace-deletions,"Docs/superpowers/ and openspec/",existing-user-worktree-change,n/a,"115 unstaged deletions",PROTECTED,"leave unchanged","never restore or include in cleanup commit"
plugin-runtime,Source/,plugin-runtime-source,1.2M,"94 tracked; 5 ignored",KEEP_CANONICAL,"retain current path","C++ and .jucer still invoke this tree"
python-refactor,Source_new/,unintegrated-python-refactor,304K,"22 tracked; 27 ignored",MIGRATE_AFTER_SMOKE,"keep in place until integration test","not referenced by plugin entrypoint"
plugin-modules,Modules/,plugin-module,32K,"7 tracked",KEEP,"retain","small source asset"
synthetic-audio,Data/Audio_Synthetic/,generated-audio-and-feature-cache,351M,"98 tracked; 5179 ignored",KEEP_GENERATED_DATA,"write coverage manifest","do not delete source WAV for missing sidecars"
external-vectors,Data/External_1267_211/,external-raw-dataset,203M,"0 tracked; 1 ignored",KEEP_EXTERNAL_RAW,"record provenance and checksum","immutable input; do not deduplicate by filename"
tmm-preflight,Data/TMM_Synth_preflight/,protocol-fixture,12K,"1 tracked",KEEP,"retain","small reproducibility fixture"
tmm-synth-v1,Data/TMM_Synth_v1/,protocol-fixture,12K,"1 tracked",KEEP,"retain","small reproducibility fixture"
experiment-surface,Experiments/,experiment-code-and-evidence,286M,"314 tracked; 314 ignored",KEEP_EVIDENCE_SURFACE,"normalize new outputs by run_id","do not remove evidence solely because it is large"
e8-evidence,Experiments/E8_ExecutableNeighborhood/,experiment-evidence,10M,"19 tracked; 9 ignored",KEEP_EVIDENCE_SURFACE,"retain","paper-linked evidence"
e9-evidence,Experiments/E9_TMMMajorRevision/,experiment-evidence,77M,"72 tracked; 13 ignored",KEEP_EVIDENCE_SURFACE,"retain seed-specific runs","seed outputs have distinct hashes"
dataset-backup,Experiments/dataset_full_vectors.backup_20260228_144845.json,dataset-version,184M,ignored,MIGRATE_AFTER_SEMANTIC_AUDIT,"compare schema and provenance","hash differs from external raw dataset"
dataset-derived,Experiments/common/dataset_full_vectors.json,derived-dataset,8.6M,ignored,MIGRATE_AFTER_SEMANTIC_AUDIT,"compare schema and generator","hash differs from external raw dataset"
musiccaps,musiccaps_guitar_solo/,external-evaluation-audio,188M,"0 tracked; 149 ignored",KEEP_EXTERNAL_EVAL_DATA,"record source and license","local data must remain out of ordinary Git"
paper-workspace,Paper/,editable-paper-workspace,15M,"31 tracked; 40 ignored",CANONICALIZE,"make sole editable source","README and upload zip content align with this tree"
paper-upload,Paper/submission/,upload-package,8.0M,"15 tracked; 14 ignored",KEEP_IMMUTABLE_PACKAGE,"retain as upload copy","zip content matches Paper/content.tex"
paper-history-snapshot,archive/Paper_submission_snapshot_20260730/Paper_submission/,historical-paper-snapshot,8.0M,"29 tracked before move",ARCHIVED_SNAPSHOT,"retain immutable snapshot","source content differs from its sibling upload zip"
paper-root-zip,archive/Paper_submission_snapshot_20260730/Paper_submission_snapshot_20260730.zip,historical-upload-snapshot,7.1M,"tracked before move",ARCHIVED_SNAPSHOT,"retain with snapshot README","zip retains its original Paper_submission top-level layout"
paper-history,archive/,timestamped-paper-history,13M,"120 tracked; 6 ignored",KEEP_ARCHIVE,"retain","historical boundary already exists"
documentation,docs/,project-documentation,4.2M,"39 tracked; 2 ignored",KEEP_CANONICAL,"add inventory here","lowercase docs is current documentation root"
research-notes,Research/,research-plans-and-ledger,560K,"9 tracked",MIGRATE_AFTER_REFERENCE_AUDIT,"decide docs/research target later","move only after references are updated"
music-db,music_info.db,runtime-sqlite-state,80K,tracked,RUNTIME_STATE_DECISION,"separate seed from local state","do not inspect or move until runtime configuration is unified"
audio-db,audio_info.db,runtime-sqlite-state,916K,tracked,RUNTIME_STATE_DECISION,"separate seed from local state","do not inspect or move until runtime configuration is unified"
tracked-vector-db,vector_db/,runtime-vector-state,728K,"9 tracked",RUNTIME_STATE_DECISION,"unify through config","do not merge with local Windows-path database"
windows-vector-db,"C:\\Users\\Public\\Documents\\Supertonal DSP/vector_db/",ignored-local-vector-state,1.1M,ignored,MIGRATE_AFTER_RUNTIME_SMOKE,"identify collection provenance","preserve until retrieval smoke test passes"
test-rag-db,test_rag_db/,test-or-local-state,168K,ignored,TEST_FIXTURE_OR_LOCAL_STATE,"trace test references","avoid deleting unexamined test data"
active-venv,.venv/,local-python-environment,285M,ignored,KEEP_LOCAL_ENV,"retain","current Linux environment"
broken-macos-venv,.venv.macos-broken-20260727/,stale-platform-environment,1.3G,ignored,RECLAIM_CANDIDATE,"delete only after explicit approval and rebuild validation","current host is Linux; environment contains macOS binaries"
opencode-cache,.opencode/node_modules/,local-tool-dependencies,58M,ignored,RECLAIM_CANDIDATE,"verify lockfile reinstall path","some .opencode configuration is tracked"
tracked-env,.env,restricted-configuration,4K,tracked,RESTRICTED,"migrate without displaying values","requires explicit secret and Git-history policy"
tracked-env-backup,.env.local-backup-before-pull-20260503193810,restricted-configuration-backup,4K,tracked,RESTRICTED,"migrate without displaying values","requires explicit secret and Git-history policy"
legacy-root-retrieval,archive/legacy_reports/2025-01-09_retrieval_comparison_report.md,legacy-pilot-report,16K,"tracked before move",ARCHIVED_LEGACY,"retain outside active evidence surface","N=5 report and research-plan links updated"
