ytid,path,caption,aspect_list,audioset_labels,sr
#NAME?,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\-OAyRsvFGgc.wav,"The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.","['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']","/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5",32000
#NAME?,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\-Umconw-CRE.wav,"The low quality recording features a cover of a rock song with a rock instrumental playback playing in the background and electric guitar solo melody playing on top of it. It sounds muffled and noisy, as it was probably recorded with a low quality microphone, but it is still passionate and emotional.","['low quality', 'noisy', 'muffled', 'electric guitar solo melody', 'cover', 'rock instrumental playback', 'passionate', 'emotional']","/m/0155w,/m/0342h,/m/04rlf",32000
#NAME?,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\-WvVG0wHcTc.wav,"The low quality recording features a classical live performance of sustained violin melody, shimmering hi hats, electric guitar melody, theremin solo melody and subtle female vocals at the end of the loop. There are some crowd clapping sounds in the background. It is noisy, in mono and it sounds passionate and emotional.","['classical', 'sustained violin melody', 'crowd clapping', 'shimmering hi hats', 'theremin solo', 'subtle female vocal', 'live performance', 'electric guitar melody', 'low quality', 'noisy', 'mono', 'passionate', 'emotional']","/m/015lz1,/m/01lyv,/m/0342h,/m/04rlf,/m/04wptg",32000
#NAME?,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\-cQ-jUTEgck.wav,This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drums. The atmosphere is groovy. This piece could be playing in the background at a rock bar.,"['southern rock', 'blues rock', 'live performance', 'electric guitar', 'guitar solo', 'keyboard', 'bass guitar', 'acoustic drums', 'groovy']","/m/02p0sh1,/m/04rlf",32000
#NAME?,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\-lPXTBXa0tE.wav,The song is an instrumental. The song is medium tempo played by a solo guitarist on a vintage super tone with an exquisite tone. The song is emotional and passionate. The song has poor audio quality.,"['bad audio quality', 'vintage guitar tone', 'passionate', 'spirited', 'guitar demo', 'soloist', 'antique guitar', 'youtube music class', 'master class', 'buzzing noise', 'instrumental music', 'ambient room noise', 'bad audio quality', 'super tone unique tone', 'melancholic', 'country music', 'medium tempo', 'rich country traditions']","/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y",32000
#NAME?,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\-zA6LL78KYU.wav,"The low quality recording features a folk song that consists of a passionate female vocal singing over harmonica solo, groovy bass, shimmering hi hats, punchy snare, boomy kicks, groovy electric guitar melody and some claps. It sounds passionate and joyful.","['low quality', 'folk', 'groovy bass', 'harmonica solo', 'clapping', 'groovy electric guitar chords', 'shimmering hi hats', 'boomy kicks', 'punchy snare', 'passionate female vocal', 'passionate', 'joyful']","/m/03qjg,/m/085jw",32000
0EOQco76eXQ,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\0EOQco76eXQ.wav,"The song is an instrumental. The song is slow tempo with gentle drum brushes, percussion, bass guitar solo, and piano accompaniment gently. The song is groovy and emotional. The song is possibly a Christian worship song or a smooth jazz song. The audio quality is average.","['slow tempo', 'drum brushes percussions', 'inspiring', 'devotional', 'romantic', 'together forever', 'ambient room noises', 'poignant', 'jazz music', 'bass solo', 'piano accompaniment', 'jazz band', 'smooth jazz', 'live performance', 'church music', 'slow tempo', 'groovy solo', 'emotional', 'romantic', 'poignant', 'inspiring', 'motivational', 'fretboard sounds', 'christian music', 'music interlude']","/m/018vs,/m/04rlf,/m/04szw,/m/04wptg",32000
0Wdh45yt7tY,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\0Wdh45yt7tY.wav,"The song is an instrumental. The song is medium tempo with an accordion accompaniment, violin solo and a flute melody. The song is beautiful and nostalgic. The audio quality is poor. The song has an old gypsy soul to it.","['instrumental music', 'gypsy music', 'medium tempo', 'poor audio quality', 'accordion accompaniment', 'flute melody', 'guitar rhythm', 'european instruments', 'memdium tempo', 'bad audio quality', 'folk music', 'folk musicians', 'nostalgic', 'olden days', 'forgotten traditional', 'traditional instruments', 'calming', 'soothing', 'good old days', 'comfort']","/m/085jw,/m/0l14j_",32000
0wzsE67O5tE,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\0wzsE67O5tE.wav,"The song is an instrumental. The tempo is medium with an acoustic guitar playing lead, electric guitar accompaniment and a groovy bass line and no percussion instruments. The song is spirited and energetic. The audio quality is quite poor and the song has rock music influences.","['acoustic guitar lead', 'instrumental music', 'entertaining', 'cool solo', 'relaxing playlist', 'electric guitar harmony', 'poor audio quality', 'virtuoso playing', 'medium tempo', 'groovy bass line', 'guitar rhythm', 'exciting', 'energetic', 'rock music influences', 'soloist', 'medium tempo home music video', 'retro rock covers']","/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y",32000
1FnA3w94zXI,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\1FnA3w94zXI.wav,This low quality amateur recording features a guitar solo being played on a distortion guitar. The solo is played up the neck on the higher register. The guitarist plays with very fast picking techniques. This song starts off with string bending which is followed by fast picking on descending licks.,"['low quality amateur recording', 'guitar solo', 'string bending', 'distortion guitar', 'speed picking', 'no other instruments']","/m/01glhc,/m/02sgy,/m/04rlf",32000
1JwoLPCIGhs,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\1JwoLPCIGhs.wav,"The low quality recording features a cover of a blues song and it consists of subtly strummed, acoustic rhythm guitar, followed by electric guitar solo melody. It sounds passionate, easygoing and cool - like something you would hear in high end bars or blues clubs. The recording is a bit noisy.","['cover', 'low quality', 'noisy', 'blues', 'subtly strummed acoustic rhythm guitar', 'electric guitar solo melody', 'passionate', 'easygoing', 'cool']","/m/02sgy,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y",32000
1jATjKL2vAE,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\1jATjKL2vAE.wav,"This music is instrumental. The tempo is fast with a rhythmic guitar lead. There is minimal instrumentation and the music is an upbeat, energetic and catchy riff.","['instrumental', 'fast tempo', 'rhythmic guitar', 'resounding', 'guitar solo', 'guitar lead', 'acoustic guitar', 'melodic', 'energetic', 'spirited']","/m/01glhc,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y",32000
1ypKEH2kd7g,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\1ypKEH2kd7g.wav,"The song is an instrumental jazz tune. The tempo is medium with steady drumming with drum brushes and other percussive hits, piano accompaniment, guitar accompaniment, groovy bass line and a muted trumpet playing a cool solo. The song is a jazz improvisation of a romantic melody.","['jazz music', 'instrumental music', 'medium tempo', 'relaxing playlists', 'comfort', 'movie soundtrack', 'warmth', 'drum brushes', 'piano accompaniment', 'guitar accompaniment', 'percussive bass line', 'smooth', 'jazz hits', 'tv show theme', 'jazz hits', 'lounge jazz hits', 'cymbal strikes', 'instrumental music', 'emotional', 'sentimental', 'romantic', 'passionate', 'love song', 'muted trumpet solo', 'double bass']","/m/03_d0,/m/04rlf,/m/0ggx5q",32000
244y56-vLWE,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\244y56-vLWE.wav,"A male singer sings this exciting Latin dance melody. The tempo is medium fast with a saxophone solo, percussive bass line, guitar accompaniment, latin percussion, steady drumming rhythm,  and cymbal crashes. The song is exciting with the crowds going crazy. The audio quality is poor.","['live audience', 'saxophone solo', 'bass guitar solo', 'arena', 'excitement in the air', 'latin percussions', 'strong drumming rhythm', 'guitar accompaniment', 'latin pop hits', 'retro latin hits', 'crowds cheering', 'poor audio quality', 'live in concert', 'exciting', 'energetic', 'passionate', 'adrenaline rush', 'medium fast tempo', 'male singer']","/m/03_d0,/m/04rlf",32000
2iFgXSXdqLo,C:\Users\80753\Downloads\MusicCaps-master\MusicCaps-master\musiccaps_guitar_solo\2iFgXSXdqLo.wav,"This clip features some heavy and overdriven solo electric guitar playing. The phrases are energetic, gritty and full of rock flavour. You'd hear this kind of playing at a rock concert.","['solo electric guitar', 'metallic electric guitar', 'overdriven electric guitar', 'distorted electric guitar', 'rock', 'hard rock']","/m/018vs,/m/0342h,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y",32000
